0.3375,1.2283944,0.7793976,0.5673,0.4628312,0.3521,0.7807,0.8484768,0.9278068,0.9922,1.2915084
0.345,1.245796,0.7901996,0.5745212,0.469,0.3564,0.7916016,0.8602004,0.9406,1.0051008,1.3097244
0.3525,1.2613916,0.8000996,0.5823,0.4743,0.361,0.8014288,0.8708984,0.9522224,1.0191,1.326122
0.36,1.278192,0.8106996,0.5894,0.4804,0.3652156,0.812198,0.8824764,0.9646,1.0319176,1.3438
0.3675,1.2936828,0.8202268,0.596934,0.4856004,0.3697428,0.8219,0.8929764,0.9760004,1.0455004,1.3597992
0.375,1.3103832,0.8306028,0.6038156,0.49144,0.3739,0.832246,0.9042212,0.9881148,1.0581,1.3775
0.3825,1.3254836,0.8399996,0.611304,0.4965388,0.378302,0.8418328,0.9145848,0.9993004,1.0714,1.3933992
0.39,1.3418124,0.8501192,0.6181084,0.5023008,0.3824144,0.851924,0.9257768,1.0112004,1.0837,1.410336
0.3975,1.3568832,0.8594152,0.6253996,0.5073056,0.3868004,0.8612436,0.9359032,1.0221004,1.0969,1.4257992
0.405,1.3732828,0.8694996,0.6321044,0.5129364,0.3908056,0.8712,0.9468768,1.0339176,1.1088124,1.4425996
0.4125,1.3878828,0.8785996,0.6393048,0.5178352,0.3951108,0.8803,0.9568764,1.0446364,1.1218,1.458336
0.42,1.4038836,0.8885472,0.6458456,0.5234336,0.3991,0.8901004,0.9677768,1.0561128,1.133532,1.4747992
0.4275,1.4182844,0.8975072,0.6529996,0.5283004,0.4034,0.8990068,0.9775764,1.0666408,1.1462008,1.4897132
0.435,1.4338832,0.9073444,0.6594188,0.533726,0.4072012,0.9086,0.9882772,1.078,1.1579,1.5057
0.4425,1.4479828,0.9161424,0.6664996,0.5385,0.4114152,0.9174,0.9978836,1.0884028,1.1704004,1.5204216
0.45,1.4631108,0.9258,0.6728052,0.5438168,0.4153,0.9269,1.0083768,1.0996408,1.1818424,1.536506
0.4575,1.4772272,0.9344996,0.6797016,0.5486004,,0.9356,1.0180768,1.1099004,1.194244,1.5509992
0.465,1.4922912,0.9438996,0.6860004,0.5538004,,0.9449416,1.0282952,1.1210256,1.2055068,1.5664992
0.4725,1.5060264,0.9525088,0.692806,0.558498,,0.9535048,1.037814,1.1311004,1.2178,1.5808176
0.48,1.520822,0.9617436,0.6989996,0.5636436,,0.9628068,1.047924,1.142134,1.2289,1.5963992
0.4875,1.5342212,0.97024,0.7056268,0.5682008,,0.9712172,1.0572164,1.1520244,1.2410004,1.6106056
0.495,1.5487828,0.9793256,0.7118012,0.5734004,,0.9804108,1.0672764,1.1628184,1.2519,1.6258456
0.5025,1.5618848,0.9876212,0.7182996,0.5778164,,0.9887132,1.0763204,1.1727012,1.2638,1.6397148
0.51,1.5760832,0.9965996,0.7242452,0.5829216,,0.99773,1.0861896,1.1833008,1.2747004,1.6548992
0.5175,1.5890956,1.0047252,0.7307,0.5873172,,1.0060004,1.0952032,1.1931004,1.2863116,1.6687
0.525,1.6033832,1.0136104,0.7365252,0.59232,,1.0148004,1.1049176,1.2036004,1.2971008,1.6839032
0.5325,1.6163828,1.0216044,0.7429,0.5966992,,1.022902,1.1139016,1.2131276,1.308544,1.6975132
0.54,,1.0303,0.7486996,0.601534,,1.0315356,1.1235952,1.2235004,1.3191132,1.7122
0.5475,,1.0382288,0.7548996,0.6058188,,1.0395,1.1324208,1.232924,1.3304468,1.7256992
0.555,,1.0468172,,0.6107,,1.0480328,1.1419764,1.2431404,1.3408004,1.740236
0.5625,,1.055,,0.6149004,,1.055836,1.1506764,1.2525,1.352004,1.7538992
0.57,,1.0663004,,0.619704,,1.0643008,1.1602764,1.2625228,1.3622984,1.7682996
0.5775,,1.0739204,,0.6239,,1.0720164,1.1688204,1.2717236,1.3732428,1.7813308
0.585,,1.0845004,,0.6286004,,1.0804,1.1782896,1.2817456,1.3834004,1.7953996
0.5925,,,,0.6327336,,1.0880196,1.186802,1.2908156,1.3944008,1.8083088
0.6,,,,0.6374,,1.0963092,1.1961232,1.3007004,1.4044024,1.8224008
0.6075,,,,0.6415,,1.1039,1.2046764,1.3097072,1.4153,1.8353064
0.615,,,,0.6461,,1.1120248,1.2138752,1.3195304,1.425144,1.8491968
0.6225,,,,0.6501428,,1.1195176,1.2223768,1.3285008,1.436,1.8618992
0.63,,,,0.6547036,,1.1277,1.231424,1.3383,1.4458004,1.8756988
0.6375,,,,0.6587064,,1.1351004,1.2397768,1.3471068,1.4565372,1.8881456
0.645,,,,0.6633004,,1.1431436,1.2487768,1.3568012,1.4663,1.9017992
0.6525,,,,0.6679,,1.1504988,1.2570772,1.365646,1.4768348,1.9142992
0.66,,,,,,1.1584392,1.2659764,1.3751392,1.4865156,1.9278444
0.6675,,,,,,1.1657456,1.2741764,1.384,1.4969,1.9401368
0.675,,,,,,1.1736004,1.2831764,1.3934012,1.5065008,1.9536364
0.6825,,,,,,1.1813004,1.2914008,1.4021004,1.5167,1.9658996
0.69,,,,,,,1.3002912,1.4115,1.526104,1.9791992
0.6975,,,,,,,1.3073764,1.420112,1.5363008,1.9914096
0.705,,,,,,,,1.4296004,1.545542,2.0045308
0.7125,,,,,,,,,1.5556312,
0.72,,,,,,,,,,
0.7275,,,,,,,,,,
0.735,,,,,,,,,,
0.7425,,,,,,,,,,
0.75,,,,,,,,,,
0.7575,,,,,,,,,,
0.765,,,,,,,,,,
0.7725,,,,,,,,,,
0.78,,,,,,,,,,
0.7875,,,,,,,,,,
0.795,,,,,,,,,,
0.8025,,,,,,,,,,
0.81,,,,,,,,,,
0.8175,,,,,,,,,,
